Position,PlaceValue,Entropy(bits),Operation,NumDigits
0,1000000000,2.7361,multiply,5
1,100000000,3.3045,multiply,5
2,10000000,3.3216,multiply,5
3,1000000,3.3219,multiply,5
4,100000,3.3219,multiply,5
5,10000,3.3219,multiply,5
6,1000,3.3219,multiply,5
7,100,3.3218,multiply,5
8,10,3.3135,multiply,5
9,1,3.0337,multiply,5
